Codigo,Status_Rastreio,Data,Local
OG673474290BR,Objeto entregue ao destinatário,25/02/2019, Caraubas/RN
OG355808444BR,Objeto entregue ao destinatário,21/02/2019, Sao Bernardo Do Campo/SP
OG355773161BR,Objeto entregue ao destinatário,21/02/2019, SAO PAULO/SP
OG673575660BR,Objeto entregue ao destinatário,22/02/2019, BELO HORIZONTE/MG
OG673695605BR,Objeto entregue ao destinatário,21/02/2019, BRASILIA/DF
PS290406546BR,Objeto entregue ao destinatário,25/02/2019, Rio De Janeiro/RJ
OG673684846BR,Objeto entregue ao destinatário,21/02/2019, CAIEIRAS/SP
OG673342532BR,Objeto entregue ao destinatário,21/02/2019, Sao Bernardo Do Campo/SP
OG673348552BR,Objeto entregue ao destinatário,21/02/2019, BARUERI/SP
OG673400337BR,Objeto entregue ao destinatário,25/02/2019, CAMPINAS/SP
OG673270022BR,Objeto entregue ao destinatário,23/02/2019, JUNDIAI/SP
PS290257643BR,Objeto entregue ao destinatário,26/02/2019, CANOAS/RS
PS290213611BR,Objeto entregue ao destinatário,22/02/2019, PETROPOLIS/RJ
OG355729928BR,Objeto entregue ao destinatário,22/02/2019, SAO PAULO/SP
PS290363409BR,Objeto entregue ao destinatário,28/02/2019, CUIABA/MT
OG673675929BR,Objeto entregue ao destinatário,25/02/2019, RIO DE JANEIRO/RJ
PS290345382BR,Objeto entregue ao destinatário,22/02/2019, BELO HORIZONTE/MG
OG355392891BR,Objeto entregue ao destinatário,26/02/2019, CAETITE/BA
OG673551751BR,Objeto entregue ao destinatário,21/02/2019, CONTAGEM/MG
OG355643073BR,Objeto entregue ao destinatário,21/02/2019, SAO PAULO/SP
OG355745832BR,Objeto entregue ao destinatário,21/02/2019, IBITINGA/SP
OG355636090BR,Objeto entregue ao destinatário,21/02/2019, JUNDIAI/SP
OG673390095BR,Objeto entregue ao destinatário,22/02/2019, Igarapava/SP
OG673440163BR,Objeto entregue ao destinatário,25/02/2019, ANAPOLIS/GO
OG673293995BR,Objeto entregue ao destinatário,21/02/2019, SAO PAULO/SP
OG673676204BR,Objeto entregue ao destinatário,25/02/2019, CAMPOS DO JORDAO/SP
OG673753586BR,Objeto devolvido ao remetente,26/02/2019, DIADEMA/SP
PS290430911BR,Objeto entregue ao destinatário,28/02/2019, ALTO PARAISO DE GOIAS/GO
OG355691856BR,Objeto entregue ao destinatário,22/02/2019, CAMPINAS/SP
PS290478392BR,Objeto entregue ao destinatário,22/02/2019, Cacapava/SP
OG355438117BR,Objeto entregue ao destinatário,21/02/2019, APARECIDA DE GOIANIA/GO
OG355560816BR,Objeto entregue ao destinatário,21/02/2019, Rio De Janeiro/RJ
OG673704673BR,Objeto entregue ao destinatário,01/03/2019, ITABORAI/RJ
